 id , timestamp , ax , ay , az , gx , gy , gz , mx , my , mz , t , p , h , l , n 
CISS_1_244B2207551B8950,1573311887528,630,52,-825,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887528,642,46,-812,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887528,632,44,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887529,636,42,-806,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887529,638,46,-817,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887529,630,42,-819,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887529,638,48,-819,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887529,632,39,-813,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887529,632,50,-821,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887529,,,,,,,0,0,0,,,,,
CISS_1_244B2207551B8950,1573311887529,636,50,-813,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887529,,,,,,,16,-42,32,,,,,
CISS_1_244B2207551B8950,1573311887530,638,50,-819,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887530,,,,,,,13,-41,35,,,,,
CISS_1_244B2207551B8950,1573311887530,642,56,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887530,,,,,,,14,-42,35,,,,,
CISS_1_244B2207551B8950,1573311887530,632,46,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887530,,,,,,,13,-40,33,,,,,
CISS_1_244B2207551B8950,1573311887530,,,,,,,,,,26.7,,,,
CISS_1_244B2207551B8950,1573311887530,,,,,,,,,,,,47.99,,
CISS_1_244B2207551B8950,1573311887530,,,,,,,,,,,1006.26,,,
CISS_1_244B2207551B8950,1573311887530,,,,,,,,,,,,,0,
CISS_1_244B2207551B8950,1573311887531,634,40,-817,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887531,,,,,,,16,-43,30,,,,,
CISS_1_244B2207551B8950,1573311887531,640,50,-817,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887531,,,,,,,16,-40,27,,,,,
CISS_1_244B2207551B8950,1573311887531,642,44,-817,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887531,,,,,,,16,-45,32,,,,,
CISS_1_244B2207551B8950,1573311887531,630,52,-819,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887531,,,,,,,16,-43,31,,,,,
CISS_1_244B2207551B8950,1573311887531,636,40,-815,,,,,,,,,,,
CISS_1_244B2207551B8950,1573311887532,,,,,,,14,-43,33,,,,,
